	AD1	D5	F
Number of genes	66577	37223	38372
Number of genes in orthogroups	51260	33154	31231
Number of unassigned genes	15317	4069	7141
Percentage of genes in orthogroups	77.0	89.1	81.4
Percentage of unassigned genes	23.0	10.9	18.6
Number of orthogroups containing species	26845	26798	25211
Percentage of orthogroups containing species	96.0	95.8	90.2
Number of species-specific orthogroups	11	4	10
Number of genes in species-specific orthogroups	39	17	58
Percentage of genes in species-specific orthogroups	0.1	0.0	0.2


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	1114	1161	2748
'1	9941	22871	21809
'2	13512	2714	2330
'3	1500	730	598
'4	1087	232	204
'5	324	89	93
'6	201	72	58
'7	91	31	21
'8	64	19	29
'9	35	10	11
'10	31	10	12
11-15	45	13	29
16-20	9	4	8
21-50	5	3	9
51-100	0	0	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	4.0	4.2	9.8
'1	35.6	81.8	78.0
'2	48.3	9.7	8.3
'3	5.4	2.6	2.1
'4	3.9	0.8	0.7
'5	1.2	0.3	0.3
'6	0.7	0.3	0.2
'7	0.3	0.1	0.1
'8	0.2	0.1	0.1
'9	0.1	0.0	0.0
'10	0.1	0.0	0.0
11-15	0.2	0.0	0.1
16-20	0.0	0.0	0.0
21-50	0.0	0.0	0.0
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes
'0	0	0	0
'1	9941	22871	21809
'2	27024	5428	4660
'3	4500	2190	1794
'4	4348	928	816
'5	1620	445	465
'6	1206	432	348
'7	637	217	147
'8	512	152	232
'9	315	90	99
'10	310	100	120
11-15	549	157	353
16-20	155	67	141
21-50	143	77	247
51-100	0	0	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0
'1	14.9	61.4	56.8
'2	40.6	14.6	12.1
'3	6.8	5.9	4.7
'4	6.5	2.5	2.1
'5	2.4	1.2	1.2
'6	1.8	1.2	0.9
'7	1.0	0.6	0.4
'8	0.8	0.4	0.6
'9	0.5	0.2	0.3
'10	0.5	0.3	0.3
11-15	0.8	0.4	0.9
16-20	0.2	0.2	0.4
21-50	0.2	0.2	0.6
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0
